1	2	1.5
1	3	1
1	4	1
1	5	1
1	6	1
1	8	1
2	3	1.5
2	4	1.5
2	5	1.5
2	6	1.5
2	8	1.5
3	4	1
3	5	1
3	6	1
3	8	1
4	5	1
4	6	1
4	8	1
5	6	1
5	8	1
6	8	1
6	9	1.5
7	16	1
7	17	1.5
7	20	0.5
7	21	0.5
8	9	1
10	11	1
10	12	0.5
10	13	0.5
10	14	1
10	15	1
10	16	0.5
10	17	0.5
10	18	1
10	19	1.5
10	20	1
10	22	1
10	23	0.5
10	25	1
10	27	0.5
10	29	0.5
11	12	0.5
11	13	0.5
11	14	1
11	15	1
11	16	0.5
11	17	0.5
11	18	1
11	19	1.5
11	20	1
11	22	1
11	23	0.5
11	25	1
11	27	0.5
11	29	0.5
12	13	1
12	14	1.5
12	15	0.5
12	18	0.5
12	19	1
12	20	0.5
12	22	0.5
12	25	0.5
12	26	0.5
12	27	1
12	28	1
12	29	1
13	14	1.5
13	15	0.5
13	18	0.5
13	19	1
13	20	0.5
13	22	0.5
13	25	0.5
13	26	0.5
13	27	1
13	28	1
13	29	1
14	15	1
14	16	0.5
14	17	0.5
14	18	1
14	19	1.5
14	20	1
14	22	1
14	23	0.5
14	25	1
14	26	1
14	27	1.5
14	28	1.5
14	29	1.5
15	16	0.5
15	17	0.5
15	18	1
15	19	1.5
15	20	1
15	22	1
15	23	0.5
15	25	1
15	27	0.5
15	28	0.5
15	29	0.5
16	17	1.5
16	18	0.5
16	19	1
16	20	0.5
16	21	0.5
16	22	0.5
16	25	0.5
17	18	0.5
17	19	1
17	20	1
17	21	1
17	22	0.5
17	25	0.5
18	19	1.5
18	20	1
18	22	1
18	23	0.5
18	24	1.5
18	25	1
18	27	0.5
18	29	0.5
19	20	1.5
19	22	1.5
19	23	1
19	24	0.5
19	25	1.5
19	27	1
19	29	1
20	21	1.5
20	22	1
20	23	1.5
20	24	1
20	25	1
20	27	0.5
20	29	0.5
21	22	0.5
21	23	1
21	24	0.5
22	23	0.5
22	25	1
22	27	0.5
22	29	0.5
23	24	0.5
23	25	0.5
25	26	0.5
25	27	0.5
25	29	1
26	27	0.5
26	28	0.5
26	29	1.5
27	28	1
27	29	1
28	29	1
30	31	1
30	32	1.5
30	33	1.5
30	37	1
30	45	1.5
30	47	1
30	49	1.5
31	32	0.5
31	33	1.5
31	45	0.5
31	49	0.5
32	33	1
32	37	0.5
32	45	1
32	47	0.5
32	49	1
33	37	0.5
33	45	1
33	47	0.5
33	49	1
34	35	1.5
34	36	1
34	37	1
34	40	1
34	41	1
35	36	1.5
35	37	1.5
35	41	1.5
36	37	1
36	41	1
37	41	1
37	45	0.5
37	49	0.5
38	39	1.5
38	40	1.5
39	40	1
39	41	1
42	43	1
42	44	1.5
43	44	1.5
45	47	0.5
45	49	1
46	47	1
46	48	1.5
46	49	1.5
47	48	1
47	49	1.5
