"cell_name","cell_label"
"GSM1377859",6
"GSM1377860",6
"GSM1377861",6
"GSM1377862",6
"GSM1377863",6
"GSM1377864",6
"GSM1377865",4
"GSM1377866",6
"GSM1377867",6
"GSM1377868",4
"GSM1377869",4
"GSM1377870",4
"GSM1377871",4
"GSM1377872",4
"GSM1377873",4
"GSM1377874",4
"GSM1377875",4
"GSM1377876",4
"GSM1377877",4
"GSM1377878",4
"GSM1377879",4
"GSM1377880",4
"GSM1377881",4
"GSM1377882",4
"GSM1377883",4
"GSM1377884",4
"GSM1377885",4
"GSM1377886",4
"GSM1377887",4
"GSM1377888",5
"GSM1377889",5
"GSM1377890",5
"GSM1377891",5
"GSM1377892",1
"GSM1377893",1
"GSM1377894",1
"GSM1377895",1
"GSM1377896",2
"GSM1377897",2
"GSM1377898",2
"GSM1377899",1
"GSM1377900",3
"GSM1377901",3
"GSM1377902",3
"GSM1377903",5
"GSM1377904",5
"GSM1377905",5
"GSM1377906",5
"GSM1377907",5
