 label
GSM1377859 2
GSM1377860 2
GSM1377861 2
GSM1377862 2
GSM1377863 2
GSM1377864 2
GSM1377865 1
GSM1377866 2
GSM1377867 2
GSM1377868 1
GSM1377869 1
GSM1377870 1
GSM1377871 1
GSM1377872 1
GSM1377873 1
GSM1377874 1
GSM1377875 1
GSM1377876 1
GSM1377877 1
GSM1377878 2
GSM1377879 2
GSM1377880 1
GSM1377881 2
GSM1377882 2
GSM1377883 0
GSM1377884 2
GSM1377885 1
GSM1377886 1
GSM1377887 1
GSM1377888 1
GSM1377889 1
GSM1377890 1
GSM1377891 1
GSM1377892 1
GSM1377893 1
GSM1377894 1
GSM1377895 1
GSM1377896 1
GSM1377897 1
GSM1377898 1
GSM1377899 1
GSM1377900 1
GSM1377901 1
GSM1377902 0
GSM1377903 1
GSM1377904 1
GSM1377905 1
GSM1377906 1
GSM1377907 1
