name,label
GSM1271862_E18_1_C08_IL3230.sorted.genes.fpkm_tracking,2
GSM1271863_E18_1_C09_IL3230.sorted.genes.fpkm_tracking,0
GSM1271864_E18_1_C11_IL3230.sorted.genes.fpkm_tracking,0
GSM1271865_E18_1_C13_IL3230.sorted.genes.fpkm_tracking,0
GSM1271866_E18_1_C15_IL3230.sorted.genes.fpkm_tracking,0
GSM1271867_E18_1_C18_IL3230.sorted.genes.fpkm_tracking,0
GSM1271868_E18_1_C33_IL3230.sorted.genes.fpkm_tracking,4
GSM1271869_E18_1_C34_IL3230.sorted.genes.fpkm_tracking,0
GSM1271870_E18_1_C37_IL3230.sorted.genes.fpkm_tracking,0
GSM1271871_E18_1_C38_IL3230.sorted.genes.fpkm_tracking,2
GSM1271872_E18_1_C44_IL3230.sorted.genes.fpkm_tracking,0
GSM1271873_E18_1_C45_IL3230.sorted.genes.fpkm_tracking,0
GSM1271874_E18_1_C46_IL3230.sorted.genes.fpkm_tracking,4
GSM1271875_E18_1_C47_IL3230.sorted.genes.fpkm_tracking,1
GSM1271876_E18_1_C50_IL3230.sorted.genes.fpkm_tracking,0
GSM1271877_E18_1_C53_IL3230.sorted.genes.fpkm_tracking,3
GSM1271878_E18_1_C60_IL3230.sorted.genes.fpkm_tracking,0
GSM1271879_E18_1_C62_IL3230.sorted.genes.fpkm_tracking,0
GSM1271880_E18_1_C67_IL3230.sorted.genes.fpkm_tracking,0
GSM1271881_E18_1_C84_IL3230.sorted.genes.fpkm_tracking,3
GSM1271884_E18_2_C06_IL3390.sorted.genes.fpkm_tracking,2
GSM1271885_E18_2_C07_IL3389.sorted.genes.fpkm_tracking,0
GSM1271886_E18_2_C11_IL3390.sorted.genes.fpkm_tracking,2
GSM1271887_E18_2_C12_IL3390.sorted.genes.fpkm_tracking,2
GSM1271888_E18_2_C13_IL3389.sorted.genes.fpkm_tracking,3
GSM1271889_E18_2_C15_IL3389.sorted.genes.fpkm_tracking,3
GSM1271890_E18_2_C20_IL3389.sorted.genes.fpkm_tracking,0
GSM1271891_E18_2_C22_IL3390.sorted.genes.fpkm_tracking,4
GSM1271892_E18_2_C26_IL3389.sorted.genes.fpkm_tracking,0
GSM1271893_E18_2_C30_IL3389.sorted.genes.fpkm_tracking,2
GSM1271894_E18_2_C31_IL3389.sorted.genes.fpkm_tracking,0
GSM1271895_E18_2_C32_IL3389.sorted.genes.fpkm_tracking,0
GSM1271896_E18_2_C36_IL3390.sorted.genes.fpkm_tracking,0
GSM1271897_E18_2_C38_IL3389.sorted.genes.fpkm_tracking,0
GSM1271898_E18_2_C42_IL3390.sorted.genes.fpkm_tracking,0
GSM1271899_E18_2_C43_IL3389.sorted.genes.fpkm_tracking,0
GSM1271900_E18_2_C44_IL3389.sorted.genes.fpkm_tracking,3
GSM1271901_E18_2_C49_IL3389.sorted.genes.fpkm_tracking,2
GSM1271902_E18_2_C50_IL3389.sorted.genes.fpkm_tracking,2
GSM1271903_E18_2_C55_IL3389.sorted.genes.fpkm_tracking,4
GSM1271904_E18_2_C59_IL3390.sorted.genes.fpkm_tracking,2
GSM1271905_E18_2_C61_IL3389.sorted.genes.fpkm_tracking,0
GSM1271906_E18_2_C63_IL3390.sorted.genes.fpkm_tracking,1
GSM1271907_E18_2_C65_IL3390.sorted.genes.fpkm_tracking,0
GSM1271908_E18_2_C69_IL3389.sorted.genes.fpkm_tracking,0
GSM1271909_E18_2_C72_IL3390.sorted.genes.fpkm_tracking,0
GSM1271910_E18_2_C73_IL3389.sorted.genes.fpkm_tracking,0
GSM1271911_E18_2_C74_IL3390.sorted.genes.fpkm_tracking,0
GSM1271912_E18_2_C77_IL3390.sorted.genes.fpkm_tracking,0
GSM1271913_E18_2_C81_IL3389.sorted.genes.fpkm_tracking,0
GSM1271914_E18_2_C87_IL3389.sorted.genes.fpkm_tracking,3
GSM1271915_E18_2_C88_IL3390.sorted.genes.fpkm_tracking,0
GSM1271916_E18_2_C90_IL3390.sorted.genes.fpkm_tracking,4
GSM1271917_E18_2_C92_IL3389.sorted.genes.fpkm_tracking,2
GSM1271918_E18_3_C06_IL3764.sorted.genes.fpkm_tracking,3
GSM1271919_E18_3_C09_IL3764.sorted.genes.fpkm_tracking,0
GSM1271920_E18_3_C10_IL3764.sorted.genes.fpkm_tracking,2
GSM1271921_E18_3_C13_IL3764.sorted.genes.fpkm_tracking,4
GSM1271922_E18_3_C15_IL3764.sorted.genes.fpkm_tracking,3
GSM1271923_E18_3_C23_IL3764.sorted.genes.fpkm_tracking,0
GSM1271924_E18_3_C26_IL3764.sorted.genes.fpkm_tracking,0
GSM1271925_E18_3_C28_IL3764.sorted.genes.fpkm_tracking,2
GSM1271926_E18_3_C29_IL3764.sorted.genes.fpkm_tracking,0
GSM1271927_E18_3_C36_IL3764.sorted.genes.fpkm_tracking,2
GSM1271928_E18_3_C37_IL3764.sorted.genes.fpkm_tracking,2
GSM1271929_E18_3_C40_IL3764.sorted.genes.fpkm_tracking,0
GSM1271930_E18_3_C41_IL3764.sorted.genes.fpkm_tracking,3
GSM1271931_E18_3_C47_IL3764.sorted.genes.fpkm_tracking,0
GSM1271932_E18_3_C48_IL3764.sorted.genes.fpkm_tracking,2
GSM1271933_E18_3_C51_IL3764.sorted.genes.fpkm_tracking,0
GSM1271934_E18_3_C53_IL3764.sorted.genes.fpkm_tracking,0
GSM1271935_E18_3_C54_IL3764.sorted.genes.fpkm_tracking,0
GSM1271936_E18_3_C55_IL3764.sorted.genes.fpkm_tracking,0
GSM1271937_E18_3_C59_IL3764.sorted.genes.fpkm_tracking,0
GSM1271938_E18_3_C61_IL3764.sorted.genes.fpkm_tracking,0
GSM1271939_E18_3_C75_IL3764.sorted.genes.fpkm_tracking,2
GSM1271940_E18_3_C80_IL3764.sorted.genes.fpkm_tracking,0
GSM1271941_E18_3_C82_IL3764.sorted.genes.fpkm_tracking,2
GSM1271942_E18_3_C87_IL3764.sorted.genes.fpkm_tracking,0
GSM1271943_E18_3_C90_IL3764.sorted.genes.fpkm_tracking,0
